	2810433D01Rik	AC149090.1	AU020206	Anxa3	Apoe	Atp6ap1	B2m	Bcl2a1b	Bcl2a1d	Bst2	C1qa	C1qb	C1qc	C3ar1	C4a	C4b	Ccl21c.1	Ccl3	Ccl6	Cd14	Cd180	Cd300c2	Cd52	Cd53	Cd63	Cd68	Cd74	Cd9	Cfh	Clec7a	Clu	Cox4i1	Cox6a1	Csf1r	Cst3	Cst7	Ctsa	Ctsb	Ctsd	Ctsh	Ctsl	Ctss	Ctsz	Cxcl5	Cyba	Dnm1	Erdr1	Fau	Fcer1g	Fcgr2b	Fcgr3	Fcrls	Fth1	Ftl1	Fzd5	Gfap	Gm10243	Gm10275	Gm11033	Gm13464	Gm14173	Gm14303	Gm15590	Gm15728	Gm20430	Gm20594	Gm20631	Gm26917	Gm28437	Gm42418	Gm42959	Gm43841	Gm6210	Gm6272	Gm7079	Gnas	Gpnmb	Gpr34	Grina	Grn	Gusb	H2-Aa	H2-Ab1	H2-D1	H2-Eb1	H2-K1	Hcrt	Hexa	Hexb	Hsh2d	Hvcn1	Ifi27l2a	Irf8	Itgax	Itgb5	Kif15	Lag3	Laptm5	Lars2	Lgals3bp	Lgmn	Lpl	Lrrc17	Ly86	Lyz1	Lyz2	Malat1	Mamdc2	Man2b1	Mpeg1	Npc2	Olfml3	Olfr912	Plek	Prdx6	Psap	Psmb8	Purb	Rnaset2a	Rpl12	Rpl28	Rpl32	Rpl37	Rpl37a	Rpl37rt	Rpl38	Rpl41	Rplp1	Rplp2	Rps10	Rps11	Rps12	Rps21	Rps23	S100a6	Serpina3n	Sez6	Slc11a1	Slc6a3	Spp1	Srgn	Syngr1	Tmem176a	Tmsb4x	Trem2	Trf	Ttr	Tyrobp	Vim	Vsir	Wfdc17	Zfp30	mt-Nd1	mt-Rnr1	mt-Rnr2
0	0.0	0.0	0.0	0.0	0.0	0.0	25.03642309781069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.14064857814959	33.331241956600934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.40545761731607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.346296506863183	90.86479813513488	0.0	0.0	44.569339303453305	0.0	0.0	14.788662882473185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.3896315457521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.812452042967593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-15.24699756530205	0.0	0.0	18.948800160176255	0.0	0.0	0.0	0.0	0.0	0.0	12.998824185332785	0.0	0.0	0.0	0.0	0.0	0.0	15.114791004386465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.89431107170684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-20.43343770282005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.21552289588539	0.0	0.0	35.74566766122718	0.0	0.0	0.0	0.0	0.0	-26.908118213860245	-16.678370080500923
1	0.0	0.0	0.0	0.0	0.0	0.0	22.03103101387345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.48936042726205	31.651677889910218	0.0	17.205298859848405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.52793562191342	85.44165278126727	0.0	0.0	49.717070858669494	0.0	0.0	14.81049128152072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.60914432197766	0.0	0.0	0.0	0.0	0.0	16.282442544446834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-18.87226784840568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.993968984258913	0.0	0.0	0.0	0.0	0.0	0.0	15.033467107032614	0.0	0.0	0.0	0.0	0.0	0.0	18.69374838277988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.255043732079486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-19.247853774473654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.447545760930222	0.0	0.0	36.95325392891631	0.0	0.0	0.0	0.0	0.0	-26.521334452975612	-19.445972715869225
2	0.0	0.0	0.0	0.0	0.0	0.0	26.505175650021407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.66841875494162	26.605311155664523	0.0	16.291874759546715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.866025679351544	88.94071780718575	0.0	0.0	46.35146157694704	0.0	0.0	13.819764421306342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.150744570160285	0.0	0.0	0.0	0.0	0.0	16.419399176829273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.99740548226353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-15.768708367945544	0.0	0.0	15.750406962558772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.236268760419915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.623301574939074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-21.937093618081065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.16530868934737	0.0	0.0	36.90506744493334	0.0	0.0	0.0	0.0	0.0	-25.562454198235777	-17.849289928283863
3	0.0	0.0	0.0	0.0	0.0	0.0	22.23072440546382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.659743676612948	32.11119587684702	0.0	15.982619446664582	0.0	0.0	0.0	0.0	0.0	0.0	20.14490499216852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.486766186697368	92.42592430240705	0.0	0.0	42.132638296701046	0.0	0.0	13.675162111961797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.950650845569575	0.0	0.0	34.04971349209398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-13.249624748395632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.905024310562112	0.0	0.0	0.0	0.0	0.0	0.0	15.380701375581744	0.0	0.0	0.0	0.0	0.0	0.0	15.42043497023365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.13707730918629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-20.71216116227819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.741487992417746	0.0	0.0	0.0	0.0	0.0	-21.909795495866415	-16.96381085064538
4	0.0	0.0	0.0	0.0	0.0	0.0	24.76566934367648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.431980822883936	30.974732971897463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.926522109336737	0.0	0.0	0.0	12.467850776890286	0.0	0.0	0.0	0.0	14.342314585607033	82.59803868383267	0.0	0.0	49.208149693003975	0.0	0.0	17.973016773144728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0745128493086	0.0	0.0	0.0	0.0	0.0	15.207417214675127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-15.965971086901327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.558147220248774	0.0	0.0	0.0	0.0	0.0	0.0	15.735129536146372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.938245264977333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-20.678603004262367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.476207721308622	0.0	0.0	37.682897304478935	0.0	0.0	0.0	0.0	0.0	-26.73833006312576	-17.30475725500199
5	0.0	0.0	0.0	0.0	0.0	0.0	23.38209685891382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.446562088503722	30.65612847208951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.570855191052337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.022607713654832	86.30124193640063	0.0	0.0	46.84398163754702	0.0	0.0	14.290685811000744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.14794226285969	0.0	0.0	0.0	0.0	0.0	13.696108934961797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-14.60386591091991	0.0	0.0	15.084465724233617	0.0	0.0	0.0	0.0	0.0	0.0	15.068317365587706	0.0	0.0	0.0	0.0	0.0	0.0	16.87609265827833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.51065056288451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-23.858715168363904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.505677569463888	0.0	0.0	38.51499234736458	0.0	0.0	0.0	0.0	0.0	-23.472427691782467	-18.933842379716754
6	0.0	0.0	0.0	0.0	0.0	0.0	21.934837376496578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.950862215690496	28.54425288350267	0.0	21.387782354197057	0.0	0.0	0.0	0.0	0.0	0.0	18.593077317942406	0.0	0.0	0.0	15.763633662112813	0.0	0.0	0.0	0.0	17.820200431164672	88.0956770673832	0.0	0.0	47.25884526999252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.85702176150202	0.0	0.0	0.0	0.0	0.0	17.728941052113054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.933776334425897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.234267918217963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.021250996531318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.296838186396293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-23.57703297807014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.05941348310033	0.0	0.0	41.34201564522163	0.0	0.0	0.0	0.0	0.0	-29.151342577947396	-17.32557043356574
7	0.0	0.0	0.0	0.0	0.0	0.0	26.117221809034845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.923277689565356	26.960400083205286	0.0	16.341138738227873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.652981635804288	90.76714878922395	0.0	0.0	46.64617834896044	0.0	0.0	19.816141378806947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.040824489074478	0.0	0.0	35.930734715743725	0.0	0.0	0.0	0.0	0.0	19.262201712112642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.125793241445514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-14.499156777039325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.983842641402674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.387629516880683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-17.5530964545762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.012842147688886	0.0	0.0	38.25071585647672	0.0	0.0	0.0	0.0	0.0	-26.61999687017157	-16.401216560633912
8	0.0	0.0	0.0	0.0	0.0	0.0	21.867471621204054	0.0	0.0	0.0	16.8273444484715	0.0	0.0	0.0	0.0	17.564334450976066	29.069400131429187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.512831846539093	92.01038281884298	0.0	0.0	51.20032347788484	0.0	0.0	17.262790572825878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.45080882053688	0.0	0.0	0.0	0.0	0.0	13.915448244571525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-15.88192334015253	0.0	0.0	16.656260059912302	0.0	0.0	0.0	0.0	0.0	0.0	15.363208633709258	0.0	0.0	0.0	0.0	0.0	0.0	21.45038940199244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.494101930651183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-21.58996953376842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.927087167912127	0.0	0.0	38.09422330948324	0.0	0.0	0.0	0.0	0.0	-25.30149032981829	-14.80643806048782
9	0.0	0.0	0.0	0.0	0.0	0.0	23.47542210418353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.974390776103029	26.573224797155234	0.0	18.499023481240414	0.0	0.0	0.0	0.0	0.0	0.0	16.022022620190985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.481026970343013	91.58067545217659	0.0	0.0	49.04801751046731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.66299783546022	0.0	0.0	0.0	0.0	0.0	15.850285358259626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-17.964124093210888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-14.057775589883388	0.0	0.0	20.047986896769864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.675491611007917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.75604685612351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-26.10456776356767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.87880191374821	0.0	0.0	40.64082482961543	0.0	0.0	0.0	0.0	0.0	-24.612731735216215	-15.492352890298644
