	AB	AB_2	AS	AS_2	D	D_2	N	N_2
B02_D1__12_17	0.0	0.0	16.683710298500003	17.8252493875	13.1496631375	14.6743026105	1.293310876	0.9116838899999999
B02_D1__12_19	0.0	0.0	13.830631448	14.82494835	15.128670219000002	16.73599866	1.059970525	0.854319057
B02_D1__12_2	0.0	0.0	5.4024496934999995	6.404888918999999	2.6110017500000002	6.417718955	2.146216098	10.695522992499999
B02_D1__12_20	0.0	0.0	4.0786918110000006	5.513579592500001	17.9061462315	14.9397608105	14.9176116785	9.443855308
B02_D1__12_21	0.0	0.0	1.0421522275	1.36242456	23.373510022	17.331250715499998	17.560098555	14.148443761500001
B02_D1__12_22	0.0	0.0	0.0	0.1079527395	9.4897408205	11.3774239695	4.816414687	6.972554837
B02_D1__12_23	0.0	0.0	0.0	0.07532831150000001	16.081703107	17.516832211500002	11.901611047500001	14.3057129525
B02_D1__12_24	0.0	0.0	1.464391614	1.8652264825	17.099308120499998	18.3046194505	25.17296988	25.812348466
B02_D1__12_25	0.0	0.0	6.974690994500001	13.7188901165	5.364117930499999	9.2774059395	3.2478998345	6.833452466000001
B02_D1__12_3	0.0	0.0	6.6162882785	9.468278242	16.073785639	12.074548993499999	31.1477032735	31.348031599499997
B02_D1__12_4	0.0	0.0	6.8770512495	6.616527505	9.0482201465	10.6495579565	14.284271649	15.3978389
B02_D1__12_5	0.0	0.0	2.9505711655	4.765153121	10.6031075745	9.066043234	16.885929294500002	12.7503443895
B02_D1__12_6	0.0	0.0	5.3379250965	5.378262947500001	10.137752906	11.602502837500001	11.43533608	12.708320889
B02_D1__12_7	0.0	0.0	9.16143024	6.170571949499999	12.550742367999998	12.607198324999999	12.7787354725	13.245323789499999
B02_D1__12_8	0.0	0.0	12.676014673000001	11.8890530595	15.2260087565	15.822812587000001	11.513430363000001	13.071814151999998
B02_D1__13_13	0.0	0.0	57.358417162500004	35.206203784500005	34.916356361000005	21.0478740755	11.351636747499999	4.058150283
B02_D1__13_14	0.0	0.0	15.513170974500001	17.4006493805	14.966451292	15.2733952225	0.0124254475	0.799530495
B02_D1__13_15	0.0	0.0	13.103627542	12.467796802999999	8.381469501	8.263945229499999	1.2332486135	0.7664716679999999
B02_D1__13_16	0.0	0.0	10.263012691	8.034938492	4.8617497395	4.0304263655	1.1403347435	0.934436975
B02_D1__13_17	0.0	0.0	6.16705008	6.224673405999999	5.3353388785	3.8620770369999997	0.8906978115	0.9933145105
B02_D1__13_19	0.0	0.0	12.747720365	20.290682819	10.41337386	13.926923482000001	0.243161094	1.4684442309999999
B02_D1__13_2	0.0	0.0	6.4362661999999995	9.6306300225	3.2564116585	3.5066513610000003	0.650735495	1.0932541025
B02_D1__13_20	0.0	0.0	14.1660597235	14.099770039	16.684874969499997	16.6872078515	3.7691187179999996	4.0558820435
B02_D1__13_21	0.0	0.0	5.992271757499999	5.388467632499999	17.4260337965	16.435604345999998	12.621835169499999	11.042892711499999
B02_D1__13_22	0.0	0.0	0.5302159195	0.6245530395000001	10.2370001275	14.228049265000001	6.1262297175	10.0905840285
B02_D1__13_23	0.0	0.0	0.0799715655	0.1321982685	9.943131331	10.5787669245	9.999407618000001	8.187576268499999
B02_D1__13_24	0.0	0.0	0.1789171115	0.8015144189999999	17.7597231185	23.097578003499997	19.2438552235	25.271870468499998
B02_D1__13_25	0.0	0.0	1.3566621800000003	2.3997660670000003	15.668909825	13.47585938	18.1722745625	14.505815842499999
B02_D1__13_3	0.0	0.0	6.581242453	10.2758368875	11.549040654999999	11.976996996	10.787602308	13.778567042
