gene	importance
Ctsd	0.03865029943876837
Tyrobp	0.03187818636439172
B2m	0.020595416461454744
C1qb	0.020399152826552837
Gfap	0.018424142414996115
Trem2	0.018402456346248482
Ccl6	0.014311410690298138
Cst3	0.012617302533414108
Cst7	0.011941122380294268
Clec7a	0.011332255117623192
Snhg11	0.010373503413834776
C4b	0.010272302030302626
Mpped1	0.010258188406715996
Timm13	0.010158768750618153
Camk2a	0.009863183129886769
Cd74	0.009858323223684063
Ctsz	0.009346875486768746
Btbd3	0.009179250883305857
Nudt19	0.009008919330149011
Ctsb	0.008912143007309041
Serpina3n	0.008880578225608136
Tmsb4x	0.00878206411850919
Qdpr	0.008579243189098796
Hspa8	0.008282964675621158
Pkm	0.008182284080307667
Pip4k2a	0.008011473000918484
Uqcrc1	0.007779803753863538
Cfl1	0.007682993867633157
Syngr1	0.007682755920241494
Atxn7l3b	0.007638712436679618
Gm28437	0.007566554831218476
mt-Co3	0.007515630571920223
Dkk3	0.007455841246649941
C1qa	0.007446936790171149
Emc10	0.007420366817330284
Gng3	0.007407848157318039
Lats2	0.007286865271959175
Gm10925	0.007281732205733161
Sncb	0.007281333750571917
Rgs10	0.007199247327032005
mt-Rnr2	0.0071785466028502195
Gnas	0.007145125473663457
Pld3	0.006969239256215782
Cldn11	0.006951419970107694
mt-Nd4l	0.006902339128067639
Dynll2	0.006844614380818389
Pcmt1	0.006641166968315823
Ift46	0.006586139749469621
Pcp4	0.006551621497025503
mt-Tm	0.006532000055690509
App	0.006510378111856291
mt-Tf	0.006461481613325266
Fth-ps3	0.00644782844593798
Nme7	0.006427591048512416
Meg3	0.006385174566854848
Sv2a	0.006332089362464304
Lpl	0.006280663292126473
Lars2	0.006239215840585076
Gaa	0.0062101208747933085
Rn18s-rs5	0.006197647919459909
RP23-269H21.1	0.006177031687915614
Purb	0.006170774440776186
Ttr	0.006117558224563575
Cd63	0.006073001149409206
Gm26917	0.006046325247903562
Fasn	0.006040560281292232
Gm29216	0.005987722934553238
Gm42418	0.005974988616689426
Cplx1	0.0059587445126992175
Trf	0.0058495848063377445
Pebp1	0.005734824277125722
Atp5o	0.005702397578460901
Gm20594	0.005653298097056501
Atp9a	0.005625574807515647
Supt7l	0.005622268944353531
Acot7	0.0055962022805889355
Apod	0.005566915903379862
mt-Nd1	0.005563779073417375
mt-Rnr1	0.005554413758164151
Rps6-ps3	0.0055414050094674564
Srebf2	0.005535533703247959
mt-Co2	0.005502937568978573
Mt3	0.005461981890235145
Ctsl	0.005413057020800724
Itm2c	0.00540843741619432
Sez6	0.005391671217718328
mt-Ta	0.00533619056359454
mt-Tn	0.005294180530596741
Podxl2	0.005288925184155653
Ubb	0.0052561480405116
Scrt1	0.005255951296653118
Gm7899	0.005212844569662569
H2-D1	0.005190619094765447
Ctss	0.005126887932198913
Gm20721	0.005117688764055763
Cpe	0.0050877671927449415
mt-Tv	0.005079696144883781
mt-Tw	0.005058495698544852
Actb	0.005050456662367053
Hexb	0.005032226242429712
Apoe	0.005021428008730635
Psap	0.004997420284288536
Eef1a2	0.004988277095540316
Lamp1	0.004968382295079942
Tpi1	0.004940716070027291
Tecr	0.004883698713873824
Cox4i1	0.0048724165849907426
AC149090.1	0.004869722307714963
C1qc	0.004868541008107913
Dnm1	0.004867820404467163
Pgk1	0.004833879866645263
Camk2n1	0.00482372771470611
Cd9	0.0047855739999382784
mt-Tp	0.004774439789215229
mt-Te	0.004763591376065065
Gm5575	0.0047562102026985804
Hsp90aa1	0.004715351155221664
Npc2	0.004651855076441896
Gm8326	0.004650284802290592
Prdx6	0.004649387184820989
Clu	0.004494210648331117
mt-Nd5	0.004313572437326456
Hexa	0.004300215245475711
Man2b1	0.004280337769216658
mt-Tl1	0.004273712701129378
Mpeg1	0.004233129938014261
C4a	0.004199412316491288
Fth1	0.004181511242282651
Lyz2	0.004085732547401818
Gm7618	0.004002350666269513
H2-K1	0.003981717100745173
Olfml3	0.00393002191273813
Slc1a2	0.0038439931238958163
Neat1	0.0037976446204337987
Fcer1g	0.003658439082885602
Ly86	0.003622608200578676
Fcrls	0.0034786509153901424
Gfm2	0.003374590907783163
Gm10243	0.003175728902809144
Lgals3bp	0.003139000231791729
Laptm5	0.003124743996407508
Tbx1	0.0026858844548901055
Cd68	0.0025224816190560872
Ctsh	0.00240263792317381
Cyba	0.002370673607656068
H2-Aa	0.0016171353721314472
Cd52	0.0015713364142229086
Spp1	0.0013880131488499196
Fcgr2b	0.00127910489398858
Itgax	0.0007534931890151343
Gm45212	0.0006332859296002198
